code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
A19.2,"Acute miliary tuberculosis, unspecified","Akutna rasejana tuberkuloza, neoznačena",Острый милиарный туберкулез неуточненной локализации,"Tuberculosis miliaris acuta, non specificata"
A19.8,Other miliary tuberculosis,Ostale rasejane tuberkuloze,Другие формы милиарного туберкулеза,Tuberculoses miliares aliae
A19.9,"Miliary tuberculosis, unspecified","Rasejana tuberkuloza, neoznačena",Милиарный туберкулез неуточненной локализации,"Tuberculosis miliaris, non specificata"
A20,Plague,Kuga,Чума,Pestis
A20.0,Bubonic plague,Kuga limfnih čvorova prepona,Бубонная чума,Pestis bubonica
A20.1,Cellulocutaneous plague,Kuga kože,Целлюлярнокожная чума,Pestis cellulocutanea
A20.2,Pneumonic plague,Kuga pluća,Легочная чума,Pestis pneumonica
A20.3,Plague meningitis,Zapaljenje moždanica uzrokovano kugom,Чумной менингит,Meningitis pestica
A20.7,Septicaemic plague,Sepsa uzrokovana kugom,Септическая чума,Pestis septica
A20.8,Other forms of plague,Ostali oblici kuge,Другие формы чумы,"Pestis, formae aliae"
A20.9,"Plague, unspecified","Kuga, neoznačena",Чума неуточненная,"Pestis, non specificata"
A21,Tularaemia,Tularemija,Туляремия,Tularaemia
A21.0,Ulceroglandular tularaemia,Ulcerozna tularemija žlezda,Ульцерогландулярная туляремия,Tularaemia ulceroglandularis
A21.1,Oculoglandular tularaemia,Tularemija žlezda oka,Окулогландулярная туляремия,Tularaemia oculoglandularis
A21.2,Pulmonary tularaemia,Tularemija pluća,Легочная туляремия,Tularaemia pulmonalis
A21.3,Gastrointestinal tularaemia,Tularemija želuca i creva,Желудочно-кишечная туляремия,Tularaemia gastrointestinalis
A21.7,Generalized tularaemia,Generalizovana tularemija,Генерализованная туляремия,Tularaemia generalisata
A21.8,Other forms of tularaemia,Ostali oblici tularemije,Другие формы туляремии,"Tularaemia, formae aliae"
A21.9,"Tularaemia, unspecified","Tularemija, neoznačena",Туляремия неуточненная,"Tularaemia, non specificata"
A22,Anthrax,Antraks [Crni prišt],Сибирская язва,Anthrax
A22.0,Cutaneous anthrax,Antraks kože,Кожная форма сибирской язвы,Anthrax cutaneus
A22.1,Pulmonary anthrax,Antraks pluća,Легочная форма сибирской язвы,Anthrax pulmonalis
A22.2,Gastrointestinal anthrax,Antraks želuca i creva,Желудочно-кишечная форма сибирской язвы,Anthrax gastrointestinalis
A22.7,Anthrax sepsis,Sepsa uzrokovana antraksom,Сибиреязвенная септицемия,Sepsis per anthracem
A22.8,Other forms of anthrax,Drugi oblici antraksa,Другие формы сибирской язвы,"Anthrax, formae aliae"
A22.9,"Anthrax, unspecified","Antraks, neoznačen",Сибирская язва неуточненная,"Anthrax, non specificatus"
A23,Brucellosis,Bruceloza [Mediteranska groznica],Бруцеллез,Brucellosis
A23.0,Brucellosis due to Brucella melitensis,"Bruceloza, uzročnik Brucella melitensis","Бруцеллез, вызванный Brucella melitensis",Brucellosis per Brucellam melitensem
A23.1,Brucellosis due to Brucella abortus,"Bruceloza, uzročnik Brucella abortus","Бруцеллез, вызванный Brucella abortus",Brucellosis per Brucellam abortus
A23.2,Brucellosis due to Brucella suis,"Bruceloza, uzročnik Brucella suis","Бруцеллез, вызванный Brucella suis",Brucellosis per Brucellam suis
A23.3,Brucellosis due to Brucella canis,"Bruceloza, uzročnik Brucella canis","Бруцеллез, вызванный Brucella canis",Brucellosis per Brucellam canis
A23.8,Other brucellosis,Ostale bruceloze,Другие формы бруцеллеза,Brucelloses aliae
A23.9,"Brucellosis, unspecified","Bruceloza, neoznačena",Бруцеллез неуточненный,"Brucellosis, non specificata"
A24,Glanders and melioidosis,"Sakagija i Melioidoza, uzročnik Pseudomonas pseudomallei",Сап и мелиоидоз,Malleus et melioidosis
A24.0,Glanders,Sakagija,Сап,Malleus
A24.1,Acute and fulminating melioidosis,Akutna i perakutna melioidoza,Острый или молниеносный мелиоидоз,Melioidosis acuta et fulminans
A24.2,Subacute and chronic melioidosis,Subakutna i hronična melioidoza,Подострый и хронический мелиоидоз,Melioidosis subacuta et chronica
A24.3,Other melioidosis,Ostale melioidoze,Другой уточненный мелиоидоз,Melioidoses aliae
A24.4,"Melioidosis, unspecified","Melioidoza, neoznačena",Мелиоидоз неуточненный,"Melioidosis, non specificata"
A25,Rat-bite fevers,Groznica posle ujeda miša,Лихорадка от укуса крыс,Febris post morsum muris
A25.0,Spirillosis,Spiriloza uzrokovana spirilama,Спириллез,Spirillosis
A25.1,Streptobacillosis,Streptobaciloza uzrokovana streptokokom,Стрептобациллез,Streptobacillosis
A25.9,"Rat-bite fever, unspecified","Groznica posle ujeda miša, neoznačena",Лихорадка от укуса крыс неуточненная,"Febris post morsum muris, non specificata"
A26,Erysipeloid,Erizipeloid – oboljenje slično crvenom vetru,Эризипелоид,Erysipeloides
A26.0,Cutaneous erysipeloid,Erizipeloid kože,Кожный эризипелоид,Erysipeloides cutaneus
A26.7,Erysipelothrix sepsis,Erizipeloidna sepsa,"Септицемия, вызванная Erysipelothrix",Erysipeloides septicus
A26.8,Other forms of erysipeloid,Drugi oblici erizipeloida,Другие формы эризипелоида,"Erysipeloides, formae aliae"
A26.9,"Erysipeloid, unspecified","Erizipeloid, neoznačen",Эризипелоид неуточненный,"Erysipeloides, non specificatus"
A27,Leptospirosis,"Leptospiroza, uzročnik Leptospira interrogans",Лептоспироз,Leptospirosis
A27.0,Leptospirosis icterohaemorrhagica,Leptospiroza sa žuticom i krvarenjima,Лептоспироз желтушно-геморрагический,Leptospirosis icterohaemorrhagica
A27.8,Other forms of leptospirosis,Drugi oblici leptospiroze,Другие формы лептоспироза,"Leptospirosis, formae aliae"
A27.9,"Leptospirosis, unspecified","Leptospiroza, neoznačena",Лептоспироз неуточненный,"Leptospirosis, non specificata"
A28,"Other zoonotic bacterial diseases, not elsewhere classified","Ostale bakterijske zoonoze, neklasifikovane na drugom mestu","Другие бактериальные зоонозы, не классифицированные в других рубриках","Zoonoses bacteriales aliae, non alibi classificatae"
A28.0,Pasteurellosis,"Pastereloza, uzročnik Pasteurellae",Пастереллез,Pasteurellosis
A28.1,Cat-scratch disease,Bolest posle mačije ogrebotine,Лихорадка от кошачьих царапин,Morbus post excoriationem felis
A28.2,Extraintestinal yersiniosis,"Jersinioza, vancrevna, uzročnik Yersinia enterocolitica",Экстраинтестинальный иерсиниоз,Yersiniosis extraintestinalis
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified","Ostale označene bakterijske zoonoze, neklasifikovane na drugom mestu","Другие уточненные бактериальные зоонозы, не классифицированные в других рубриках","Zoonoses bacteriales aliae, specificatae, non alibi classificatae"
A28.9,"Zoonotic bacterial disease, unspecified","Zoonoza, neoznačena",Бактериальные зоонозы неуточненные,"Zoonosis bacterialis, non specificata"
A30,Leprosy [Hansen disease],Lepra [Hansenova bolest],Лепра [болезнь Гансена],Lepra [Morbus Hansen]
A30.0,Indeterminate leprosy,"Lepra, neodređena",Недифференцированная лепра,Lepra indefinita
A30.1,Tuberculoid leprosy,Tuberkuloidna lepra,Туберкулоидная лепра,Lepra tuberculoides
A30.2,Borderline tuberculoid leprosy,Granična tuberkuloidna lepra,Пограничная туберкулоидная лепра,Lepra tuberculoides limitans
A30.3,Borderline leprosy,Granična lepra,Пограничная лепра,Lepra limitans
A30.4,Borderline lepromatous leprosy,Granična lepromatozna lepra,Пограничная лепроматозная лепра,Lepra lepromatosa limitans
A30.5,Lepromatous leprosy,Lepromatozna lepra,Лепроматозная лепра,Lepra lepromatosa
A30.8,Other forms of leprosy,Drugi oblici lepre,Другие формы лепры,"Lepra, formae aliae"
A30.9,"Leprosy, unspecified","Lepra, neoznačena",Лепра неуточненная,"Lepra, non specificata"
A31,Infection due to other mycobacteria,Ostale bolesti uzrokovane mikobakterijama,"Инфекции, вызванные другими микобактериями",Morbi mycobacteriales alii
A31.0,Pulmonary mycobacterial infection,Infekcija pluća uzrokovana mikobakterijama,"Легочная инфекция, вызванная Mycobacterium",Infectio pulmonalis mycobacterialis
A31.1,Cutaneous mycobacterial infection,Infekcija kože uzrokovana mikobakterijama,"Кожная инфекция, вызванная Mycobacterium",Infectio cutanea mycobacterialis
A31.8,Other mycobacterial infections,Ostale infekcije uzrokovane mikobakterijama,"Другие инфекции, вызванные Mycobacterium",Infectiones mycobacteriales aliae
A31.9,"Mycobacterial infection, unspecified","Infekcija uzrokovana mikobakterijama, neoznačena","Инфекция, вызванная Mycobacterium, неуточненная","Infectio mycobacterialis, non specificata"
A32,Listeriosis,"Listerioza, uzročnik Listeria monocytogenes",Листериоз,Listeriosis
A32.0,Cutaneous listeriosis,Listerioza kože,Кожный листериоз,Listeriosis cutanea
A32.1,Listerial meningitis and meningoencephalitis,Zapaljenje moždanica i moždanica sa mozgom uzrokovano listeriozom,Листериозный менингит и менингоэнцефалит,Meningitis et meningoencephalitis listerialis
A32.7,Listerial sepsis,Listeriozna sepsa,Листериозная септицемия,Listeriosis septica
