number,group_num,group_name,code_length,code,diagnosis_sr,diagnosis_lat
19,1,Zarazne i parazitarne bolesti,4,A031,"Šigeloza, uzročnik Shigell flexneri",Dysenteria bacillaris per Shigellam flexneri
20,1,Zarazne i parazitarne bolesti,4,A032,"Šigeloza, uzročnik Shigella boydi",Dysenteria bacillaris per Shigellam boydii
21,1,Zarazne i parazitarne bolesti,4,A033,"Šigeloza, uzročnik Shigella sonnei",Dysenteria bacillaris per Shigellam sonnei
22,1,Zarazne i parazitarne bolesti,4,A038,Ostale šigeloze,Shigelloses aliae
23,1,Zarazne i parazitarne bolesti,4,A039,"Šigeloza, neoznačena","Shigellosis, non specificata"
24,1,Zarazne i parazitarne bolesti,3,A04,Ostale bakterijske crevne infekcije,Infectiones intestinales bacteriales aliae
25,1,Zarazne i parazitarne bolesti,4,A040,Crevna infekcija uzrokovana enteropatogenom Escherichia coli,Infectio intestinalis per Escherichiam coli enteropathogenem
26,1,Zarazne i parazitarne bolesti,4,A041,Crevna infekcija uzrokovana enterotoksigenom Escherichia coli,Infectio intestinalis per Escherichiam coli enterotoxigenem
27,1,Zarazne i parazitarne bolesti,4,A042,Crevna infekcija uzrokovana enteroinvazivnom Escherichia coli,Infectio intestinalis per Escherichiam coli enteroinvasivam
28,1,Zarazne i parazitarne bolesti,4,A043,Crevna infekcija uzrokovana enterohemoragijskom Escherichia coli,Infectio intestinalis per Escherichiam coli enterohaemorrhagicam
29,1,Zarazne i parazitarne bolesti,4,A044,Ostale crevne infekcije koje uzrokuje Escherichia coli,Infectiones intestinales per Escherichiam coli aliae
30,1,Zarazne i parazitarne bolesti,4,A045,Zapaljenje tankog creva koje uzrokuje Campylobacter,Enteritis campylobacterialis
31,1,Zarazne i parazitarne bolesti,4,A046,Zapaljenje tankog creva koje uzrokuje Yersinia enterocolitica,Enteritis yersiniosa enterocolitica
32,1,Zarazne i parazitarne bolesti,4,A047,Zapaljenje tankog creva koje uzrokuje Clostridium difficile,Enterocolitis per Clostridium difficile
33,1,Zarazne i parazitarne bolesti,4,A048,Ostale označene bakterijske crevne infekcije,"Infectiones intestinales bacteriales aliae, specificatae"
34,1,Zarazne i parazitarne bolesti,4,A049,"Bakterijska crevna infekcija, neoznačena","Infectio intestinalis bacterialis, non specificata"
35,1,Zarazne i parazitarne bolesti,3,A05,"Ostala trovanja hranom uzrokovana bakterijama, neklasifikovana na drugom mestu","Intoxicationes alimentariae bacteriales aliae, non alibi classificatae"
36,1,Zarazne i parazitarne bolesti,4,A050,Trovanje hranom uzrokovano stafilokokom,Intoxicatio allimentaria staphylococcica
37,1,Zarazne i parazitarne bolesti,4,A051,Botulizam,Botulismus
38,1,Zarazne i parazitarne bolesti,4,A052,"Trovanje hranom, uzročnik Clostridium perfringens (Clostridium welchii)",Intoxicato ailmentaria per Clostridium perfringentem (Clostridium welchii)
39,1,Zarazne i parazitarne bolesti,4,A053,"Trovanje hranom, uzročnik Vibrio parahaemolytica",Intoxicatio alimentaria per Vibrionem parahaemolyticam
40,1,Zarazne i parazitarne bolesti,4,A054,"Trovanje hranom, uzročnik Bacillus cereus",Intoxicatio alimentaria per Bacillum cereum
41,1,Zarazne i parazitarne bolesti,4,A058,Ostala označena trovanja hranom uzrokovana bakterijama,"Intoxicationes alimentariae bacteriales aliae, specificatae"
42,1,Zarazne i parazitarne bolesti,4,A059,"Trovanje hranom uzrokovano bakterijama, neoznačeno","Intoxicatio alimentaria bacterialis, non specificata"
43,1,Zarazne i parazitarne bolesti,3,A06,Amebijaza,Amoebiasis
44,1,Zarazne i parazitarne bolesti,4,A060,Akutna amebna dizenterija,Dysenteria amoebica acuta
45,1,Zarazne i parazitarne bolesti,4,A061,Hronična amebna dizenerija,Amoebiasis intestinalis chronica
46,1,Zarazne i parazitarne bolesti,4,A062,Nedizenterično zapaljenje debelog creva uzrokovano amebama,Colitis amoebica non dysenterica
47,1,Zarazne i parazitarne bolesti,4,A063,"Amebom, tumor creva uzrokovan amebama",Amoeboma intestinale
48,1,Zarazne i parazitarne bolesti,4,A064,Apsces jetre uzrokovan amebama,Abscessus hepatis amoebicus
49,1,Zarazne i parazitarne bolesti,4,A065,Apsces pluća uzrokovan amebama,Abscessus pulmonum amoebicus
50,1,Zarazne i parazitarne bolesti,4,A066,Apsces mozga uzrokovan amebama,Abscessus cerebri amoebicus
51,1,Zarazne i parazitarne bolesti,4,A067,Amebijaza kože,Amoebiasis cutanea
52,1,Zarazne i parazitarne bolesti,4,A068,Amebna infekcija drugih lokalizacija,Infectio amoebica localisationum aliorum
53,1,Zarazne i parazitarne bolesti,4,A069,"Amebijaza, neoznačena","Amoebiasis, non specificata"
54,1,Zarazne i parazitarne bolesti,3,A07,Ostale crevne infekcije uzrokovane protozoama,Infectiones intestinales protozoicae aliae
55,1,Zarazne i parazitarne bolesti,4,A070,"Balantidijaza, uzročnik Balantidium coli",Balantidiasis
56,1,Zarazne i parazitarne bolesti,4,A071,"Đardijaza, uzročnik Lamblia intestinalis",Giardiasis [lambliasis]
57,1,Zarazne i parazitarne bolesti,4,A072,"Kriptosporidijaza, uzročnik Cryptosporidium",Cryptosporidiasis
58,1,Zarazne i parazitarne bolesti,4,A073,"Izosporijaza, uzročnik Isospora belli i Isospora hominis",Isosporiasis
59,1,Zarazne i parazitarne bolesti,4,A078,Ostale označene crevne infekcije uzrokovane protozoama,"Infectiones intestinales protozoicae aliae, specificatae"
60,1,Zarazne i parazitarne bolesti,4,A079,"Crevna infekcija uzrokovana protozoama, neoznačena","Infectio intestinalis protozoica, non specificata"
61,1,Zarazne i parazitarne bolesti,3,A08,Crevne infekcije uzrokovane virusima,Infectiones intestinales virales
62,1,Zarazne i parazitarne bolesti,4,A080,Zapaljenje tankog creva uzrokovano rotavirusima,Enteritis rotaviralis
63,1,Zarazne i parazitarne bolesti,4,A081,Akutno zapaljenje želuca i tankog creva uzrokovano Norwalk virusom,Gastroenteritis acuta Norwalk
64,1,Zarazne i parazitarne bolesti,4,A082,Zapljenje tankog creva uzrokovano adenovirusima,Enteritis adenoviralis
65,1,Zarazne i parazitarne bolesti,4,A083,Ostala zapaljenja tankog creva uzrokovano virusima,Enteritides virales aliae
66,1,Zarazne i parazitarne bolesti,4,A084,"Crevna infekcija uzrokovana virusima, neoznačena","Infectio intestinalis viralis, non specificata"
67,1,Zarazne i parazitarne bolesti,4,A085,Ostale označene crevne infekcije,"Infectiones intestinales aliae, specificatae"
68,1,Zarazne i parazitarne bolesti,3,A09,Drugi gastroenteritis i kolitis infektivnog ili neoznačenog porekla,Gastroenteritis et colitis origine infectiva et non specificata alia
69,1,Zarazne i parazitarne bolesti,4,A090,Drugi i neoznačeni gastroenteritis i kolitis infektivnog porekla,Gastroenteritis et colitis origine infectiva alia et non specificata
70,1,Zarazne i parazitarne bolesti,4,A099,Gastroenteritis i kolitis neoznačenog porekla,Gastroenteritis et colitis origine non specificata
71,1,Zarazne i parazitarne bolesti,3,A15,Tuberkuloza organa za disanje potvrđena bakteriološki i histološki,"Tuberculosis organorum respiratoriorum, per bacteriologiam et histologiam confirmata"
72,1,Zarazne i parazitarne bolesti,4,A150,"Tuberkuloza pluća, potvrđena mikroskopijom ispljuvka","Tuberculosis pulmonum, per microscopiam sputi confirmata"
73,1,Zarazne i parazitarne bolesti,4,A151,"Tuberkuloza pluća, potvrđena samo kulturom",Tuberculosis pulmonum per culturam solum confirmata
74,1,Zarazne i parazitarne bolesti,4,A152,"Tuberkuloza pluća, potvrđena histološki","Tuberculosis pulmonum, per histologiam confirmata"
75,1,Zarazne i parazitarne bolesti,4,A153,"Tuberkuloza pluća, potvrđena neoznačenim metodama","Tuberculosis pulmonum, methodis non specificatis confirmata"
76,1,Zarazne i parazitarne bolesti,4,A154,"Tuberkuloza limfnih čvorova u grudnom košu, potvrđena bakteriološki i histološki","Tuberculosis lymphonodorum intrathoracalium, per bacteriologiam et histologiam confirmata"
77,1,Zarazne i parazitarne bolesti,4,A155,"Tuberkuloza grkljana, dušnika i bronhija, potvrđena bakteriološki i histološki","Tuberculosis laryngis, tracheae et bronchi, per bacteriologiam et histologiam confirmata"
78,1,Zarazne i parazitarne bolesti,4,A156,"Tuberkulozno zapaljenje plućne maramice, potvrđeno bakteriološki i histološki.","Pleuritis tuberculosa, per bacteriologiam et histologiam confirmata"
79,1,Zarazne i parazitarne bolesti,4,A157,"Primarna tuberkuloza pluća, potvrđena bakteriološki i histološki","Tuberculosis pulmonum primaria, per bacteriologiam et histologiam confirmata"
80,1,Zarazne i parazitarne bolesti,4,A158,"Ostale tuberkuloze pluća, potvrđene bakteriološki i histološki","Tuberculoses pulmonum, per bacteriologiam et histologiam confirmatae aliae"
81,1,Zarazne i parazitarne bolesti,4,A159,"Tuberkuloza organa za disanje, potvrđena bakteriološki i histološki, neoznačena","Tuberculosis organorum respiratoriorum, per bacteriologiam et histologiam confirmata, non specificata"
82,1,Zarazne i parazitarne bolesti,3,A16,"Tuberkuloza organa za disanje, nepotvrđena bakteriološki i histološki","Tuberculosis organorum respiratoriorum, per bacteriologiam et histologiam non confirmata"
83,1,Zarazne i parazitarne bolesti,4,A160,"Tuberkuloza pluća, bakteriološki i histološki negativna",Tuberculosis pulmonum per bacteriologiam et histologiam nonconfirmata
84,1,Zarazne i parazitarne bolesti,4,A161,"Tuberkuloza pluća, bez bakteriološkog i histološkog ispitivanja","Tuberculosis pulmonum, sine exploratione bacteriologica et histologica"
85,1,Zarazne i parazitarne bolesti,4,A162,"Tuberkuloza pluća, bez bakteriološke ili histološke potvrde","Tuberculosis pulmonum, sine confirmatione bacteriologica sive histologica"
86,1,Zarazne i parazitarne bolesti,4,A163,"Tuberkuloza limfnih čvorova u grudnom košu, bez bakteriološke ili histološke potvrde","Tuberculosis lymphonodorum intrathoracalium, sine confirmatione bacteriologica sive histologica"
87,1,Zarazne i parazitarne bolesti,4,A164,"Tuberkuloza grkljana, dušnika i bronhija, bez bakteriološke ili histološke potvrde","Tuberculosis laryngis, tracheae et bronchi, sine confirmatione bacteriologica sive histologica"
88,1,Zarazne i parazitarne bolesti,4,A165,"Tuberkulozno zapaljenje plućna, bez bakteriološke ili histološke potvrde","Pleuritis tuberculosa, sine confirmatione bacteriologica sive histologica"
89,1,Zarazne i parazitarne bolesti,4,A167,"Primarna tuberkuloza pluća, bez bakteriološke ili histološke potvrde","Tuberculosis pulmonum primaria, sine confirmatione bacteriologica sive histologica"
90,1,Zarazne i parazitarne bolesti,4,A168,"Ostale tuberkuloze organa za disanje, bez bakteriološke ili histološke potvrde","Tuberculoses organorum respiratoriorum aliae, sine confirmatione bacteriologica sive histologica"
91,1,Zarazne i parazitarne bolesti,4,A169,"Tuberkuloza organa za disanje, bez bakteriološke ili histološke potvrde, neoznačena","Tuberculosis organorum respiratoriorum, sine confirmatione bacteriologica sive histologica, non specificata"
92,1,Zarazne i parazitarne bolesti,3,A17,Tuberkuloza nervnog sistema,Tuberculosis systematis nervosi
93,1,Zarazne i parazitarne bolesti,4,A170,Tuberkulozno zapaljenje moždanica,Meningitis tuberculosa
94,1,Zarazne i parazitarne bolesti,4,A171,Tuberkulozni čvorić moždanica,Tuberculoma meningium
95,1,Zarazne i parazitarne bolesti,4,A178,Ostale tuberkuloze nervnog sistema,Tuberculoses systematis nervosi aliae
96,1,Zarazne i parazitarne bolesti,4,A179,"Tuberkuloza nervnog sistema, neoznačena","Tuberculosis systematis nervosi, non specificata"
97,1,Zarazne i parazitarne bolesti,3,A18,Tuberkuloza drugih organa,Tuberculosis organorum aliorum
98,1,Zarazne i parazitarne bolesti,4,A180,Tuberkuloza kostiju i zglobova,Tuberculosis ossium et articulorum
99,1,Zarazne i parazitarne bolesti,4,A181,Tuberkuloza polno-mokraćnog sistema,Tuberculosis systematis genitourinarii
100,1,Zarazne i parazitarne bolesti,4,A182,Tuberkuloza perifernih limfnih čvorova,Tuberculosis lymphoglandularum periphericarum
101,1,Zarazne i parazitarne bolesti,4,A183,"Tuberkuloza žlezda creva, trbušne maramice i mezenterijuma","Tuberculosis glandularum intestinalium, peritonaealium et mesentericarum"
102,1,Zarazne i parazitarne bolesti,4,A184,Tuberkuloza kože i potkožnog tkiva,Tuberculosis cutis et subcutis
103,1,Zarazne i parazitarne bolesti,4,A185,Tuberkuloza oka,Tuberculosis oculi
104,1,Zarazne i parazitarne bolesti,4,A186,Tuberkuloza uva,Tuberculosis auris
105,1,Zarazne i parazitarne bolesti,4,A187,Tuberkuloza nadbubrežnih žlezda,Tubercuiosis glandularum suprarenalium
106,1,Zarazne i parazitarne bolesti,4,A188,Tuberkuloza drugih označenih organa,"Tuberculosis organorum aliorum, specificatorum"
107,1,Zarazne i parazitarne bolesti,3,A19,Rasejana tuberkuloza,Tuberculosis miliaris
108,1,Zarazne i parazitarne bolesti,4,A190,"Akutna rasejana tuberkuloza, označene lokalizacije","Tuberculosis miliaris acuta, loci specificati"
109,1,Zarazne i parazitarne bolesti,4,A191,"Akutna rasejana tuberkuloza, višestrukih lokalizacija","Tuberculosis miliaris acuta, locorum multiplicium"
110,1,Zarazne i parazitarne bolesti,4,A192,"Akutna rasejana tuberkuloza, neoznačena","Tuberculosis miliaris acuta, non specificata"
111,1,Zarazne i parazitarne bolesti,4,A198,Ostale rasejane tuberkuloze,Tuberculoses miliares aliae
112,1,Zarazne i parazitarne bolesti,4,A199,"Rasejana tuberkuloza, neoznačena","Tuberculosis miliaris, non specificata"
113,1,Zarazne i parazitarne bolesti,3,A20,Kuga,Pestis
114,1,Zarazne i parazitarne bolesti,4,A200,Kuga limfnih čvorova prepona,Pestis bubonica
115,1,Zarazne i parazitarne bolesti,4,A201,Kuga kože,Pestis cellulocutanea
116,1,Zarazne i parazitarne bolesti,4,A202,Kuga pluća,Pestis pneumonica
117,1,Zarazne i parazitarne bolesti,4,A203,Zapaljenje moždanica uzrokovano kugom,Meningitis pestica
118,1,Zarazne i parazitarne bolesti,4,A207,Sepsa uzrokovana kugom,Pestis septica
119,1,Zarazne i parazitarne bolesti,4,A208,Ostali oblici kuge,"Pestis, formae aliae"
120,1,Zarazne i parazitarne bolesti,4,A209,"Kuga, neoznačena","Pestis, non specificata"
121,1,Zarazne i parazitarne bolesti,3,A21,Tularemija,Tularaemia
122,1,Zarazne i parazitarne bolesti,4,A210,Ulcerozna tularemija žlezda,Tularaemia ulceroglandularis
123,1,Zarazne i parazitarne bolesti,4,A211,Tularemija žlezda oka,Tularaemia oculoglandularis
124,1,Zarazne i parazitarne bolesti,4,A212,Tularemija pluća,Tularaemia pulmonalis
125,1,Zarazne i parazitarne bolesti,4,A213,Tularemija želuca i creva,Tularaemia gastrointestinalis
126,1,Zarazne i parazitarne bolesti,4,A217,Generalizovana tularemija,Tularaemia generalisata
127,1,Zarazne i parazitarne bolesti,4,A218,Ostali oblici tularemije,"Tularaemia, formae aliae"
128,1,Zarazne i parazitarne bolesti,4,A219,"Tularemija, neoznačena","Tularaemia, non specificata"
129,1,Zarazne i parazitarne bolesti,3,A22,Antraks [Crni prišt],Anthrax
130,1,Zarazne i parazitarne bolesti,4,A220,Antraks kože,Anthrax cutaneus
131,1,Zarazne i parazitarne bolesti,4,A221,Antraks pluća,Anthrax pulmonalis
132,1,Zarazne i parazitarne bolesti,4,A222,Antraks želuca i creva,Anthrax gastrointestinalis
133,1,Zarazne i parazitarne bolesti,4,A227,Sepsa uzrokovana antraksom,Sepsis per anthracem
134,1,Zarazne i parazitarne bolesti,4,A228,Drugi oblici antraksa,"Anthrax, formae aliae"
135,1,Zarazne i parazitarne bolesti,4,A229,"Antraks, neoznačen","Anthrax, non specificatus"
136,1,Zarazne i parazitarne bolesti,3,A23,Bruceloza [Mediteranska groznica],Brucellosis
137,1,Zarazne i parazitarne bolesti,4,A230,"Bruceloza, uzročnik Brucella melitensis",Brucellosis per Brucellam melitensem
138,1,Zarazne i parazitarne bolesti,4,A231,"Bruceloza, uzročnik Brucella abortus",Brucellosis per Brucellam abortus
139,1,Zarazne i parazitarne bolesti,4,A232,"Bruceloza, uzročnik Brucella suis",Brucellosis per Brucellam suis
140,1,Zarazne i parazitarne bolesti,4,A233,"Bruceloza, uzročnik Brucella canis",Brucellosis per Brucellam canis
141,1,Zarazne i parazitarne bolesti,4,A238,Ostale bruceloze,Brucelloses aliae
142,1,Zarazne i parazitarne bolesti,4,A239,"Bruceloza, neoznačena","Brucellosis, non specificata"
143,1,Zarazne i parazitarne bolesti,3,A24,"Sakagija i Melioidoza, uzročnik Pseudomonas pseudomallei",Malleus et melioidosis
144,1,Zarazne i parazitarne bolesti,4,A240,Sakagija,Malleus
145,1,Zarazne i parazitarne bolesti,4,A241,Akutna i perakutna melioidoza,Melioidosis acuta et fulminans
146,1,Zarazne i parazitarne bolesti,4,A242,Subakutna i hronična melioidoza,Melioidosis subacuta et chronica
147,1,Zarazne i parazitarne bolesti,4,A243,Ostale melioidoze,Melioidoses aliae
148,1,Zarazne i parazitarne bolesti,4,A244,"Melioidoza, neoznačena","Melioidosis, non specificata"
149,1,Zarazne i parazitarne bolesti,3,A25,Groznica posle ujeda miša,Febris post morsum muris
150,1,Zarazne i parazitarne bolesti,4,A250,Spiriloza uzrokovana spirilama,Spirillosis
151,1,Zarazne i parazitarne bolesti,4,A251,Streptobaciloza uzrokovana streptokokom,Streptobacillosis
152,1,Zarazne i parazitarne bolesti,4,A259,"Groznica posle ujeda miša, neoznačena","Febris post morsum muris, non specificata"
153,1,Zarazne i parazitarne bolesti,3,A26,Erizipeloid – oboljenje slično crvenom vetru,Erysipeloides
154,1,Zarazne i parazitarne bolesti,4,A260,Erizipeloid kože,Erysipeloides cutaneus
155,1,Zarazne i parazitarne bolesti,4,A267,Erizipeloidna sepsa,Erysipeloides septicus
156,1,Zarazne i parazitarne bolesti,4,A268,Drugi oblici erizipeloida,"Erysipeloides, formae aliae"
157,1,Zarazne i parazitarne bolesti,4,A269,"Erizipeloid, neoznačen","Erysipeloides, non specificatus"
158,1,Zarazne i parazitarne bolesti,3,A27,"Leptospiroza, uzročnik Leptospira interrogans",Leptospirosis
159,1,Zarazne i parazitarne bolesti,4,A270,Leptospiroza sa žuticom i krvarenjima,Leptospirosis icterohaemorrhagica
160,1,Zarazne i parazitarne bolesti,4,A278,Drugi oblici leptospiroze,"Leptospirosis, formae aliae"
161,1,Zarazne i parazitarne bolesti,4,A279,"Leptospiroza, neoznačena","Leptospirosis, non specificata"
162,1,Zarazne i parazitarne bolesti,3,A28,"Ostale bakterijske zoonoze, neklasifikovane na drugom mestu","Zoonoses bacteriales aliae, non alibi classificatae"
163,1,Zarazne i parazitarne bolesti,4,A280,"Pastereloza, uzročnik Pasteurellae",Pasteurellosis
164,1,Zarazne i parazitarne bolesti,4,A281,Bolest posle mačije ogrebotine,Morbus post excoriationem felis
165,1,Zarazne i parazitarne bolesti,4,A282,"Jersinioza, vancrevna, uzročnik Yersinia enterocolitica",Yersiniosis extraintestinalis
166,1,Zarazne i parazitarne bolesti,4,A288,"Ostale označene bakterijske zoonoze, neklasifikovane na drugom mestu","Zoonoses bacteriales aliae, specificatae, non alibi classificatae"
167,1,Zarazne i parazitarne bolesti,4,A289,"Zoonoza, neoznačena","Zoonosis bacterialis, non specificata"
168,1,Zarazne i parazitarne bolesti,3,A30,Lepra [Hansenova bolest],Lepra [Morbus Hansen]
169,1,Zarazne i parazitarne bolesti,4,A300,"Lepra, neodređena",Lepra indefinita
170,1,Zarazne i parazitarne bolesti,4,A301,Tuberkuloidna lepra,Lepra tuberculoides
171,1,Zarazne i parazitarne bolesti,4,A302,Granična tuberkuloidna lepra,Lepra tuberculoides limitans
172,1,Zarazne i parazitarne bolesti,4,A303,Granična lepra,Lepra limitans
173,1,Zarazne i parazitarne bolesti,4,A304,Granična lepromatozna lepra,Lepra lepromatosa limitans
174,1,Zarazne i parazitarne bolesti,4,A305,Lepromatozna lepra,Lepra lepromatosa
175,1,Zarazne i parazitarne bolesti,4,A308,Drugi oblici lepre,"Lepra, formae aliae"
176,1,Zarazne i parazitarne bolesti,4,A309,"Lepra, neoznačena","Lepra, non specificata"
177,1,Zarazne i parazitarne bolesti,3,A31,Ostale bolesti uzrokovane mikobakterijama,Morbi mycobacteriales alii
178,1,Zarazne i parazitarne bolesti,4,A310,Infekcija pluća uzrokovana mikobakterijama,Infectio pulmonalis mycobacterialis
179,1,Zarazne i parazitarne bolesti,4,A311,Infekcija kože uzrokovana mikobakterijama,Infectio cutanea mycobacterialis
180,1,Zarazne i parazitarne bolesti,4,A318,Ostale infekcije uzrokovane mikobakterijama,Infectiones mycobacteriales aliae
181,1,Zarazne i parazitarne bolesti,4,A319,"Infekcija uzrokovana mikobakterijama, neoznačena","Infectio mycobacterialis, non specificata"
182,1,Zarazne i parazitarne bolesti,3,A32,"Listerioza, uzročnik Listeria monocytogenes",Listeriosis
183,1,Zarazne i parazitarne bolesti,4,A320,Listerioza kože,Listeriosis cutanea
184,1,Zarazne i parazitarne bolesti,4,A321,Zapaljenje moždanica i moždanica sa mozgom uzrokovano listeriozom,Meningitis et meningoencephalitis listerialis
185,1,Zarazne i parazitarne bolesti,4,A327,Listeriozna sepsa,Listeriosis septica
186,1,Zarazne i parazitarne bolesti,4,A328,Ostali oblici listerioze,"Listeriosis, formae aliae"
187,1,Zarazne i parazitarne bolesti,4,A329,"Listerioza, neoznačena","Listeriosis, non specificata"
188,1,Zarazne i parazitarne bolesti,3,A33,Tetanus novorođenčeta,Tetanus neonati
189,1,Zarazne i parazitarne bolesti,3,A34,Porođajni tetanus,Tetanus puerperalis
190,1,Zarazne i parazitarne bolesti,3,A35,Drugi tetanus,Tetanus alius
191,1,Zarazne i parazitarne bolesti,3,A36,Difterija,Diphtheria
192,1,Zarazne i parazitarne bolesti,4,A360,Difterija ždrela,Diphtheria pharyngica
193,1,Zarazne i parazitarne bolesti,4,A361,Difterija nosa i ždrela,Diphtheria nasopharyngica
194,1,Zarazne i parazitarne bolesti,4,A362,Difterija grkljana,Diphtheria laryngica
195,1,Zarazne i parazitarne bolesti,4,A363,Difterija kože,Diphtheria cutanea
196,1,Zarazne i parazitarne bolesti,4,A368,Ostale difterije,Diphtheriae aliae
197,1,Zarazne i parazitarne bolesti,4,A369,"Difterija, neoznačena","Diphtheria, non specificata"
198,1,Zarazne i parazitarne bolesti,3,A37,Veliki kašalj,Pertussis
199,1,Zarazne i parazitarne bolesti,4,A370,"Veliki kašalj, uzročnik Bordetella pertussis",Pertussis per Bordetellam pertussis
200,1,Zarazne i parazitarne bolesti,4,A371,"Veliki kašalj, uzročnik Bordetella parapertussis",Pertussis per Bordetellam parapertussis
201,1,Zarazne i parazitarne bolesti,4,A378,"Veliki kašalj, uzročnik Bordetella druge vrste",Pertussis per Bordetellam speciei aliae
202,1,Zarazne i parazitarne bolesti,4,A379,"Veliki kašalj, neoznačen","Pertussis, non specificata"
203,1,Zarazne i parazitarne bolesti,3,A38,Šarlah,Scarlatina
204,1,Zarazne i parazitarne bolesti,3,A39,Infekcija uzrokovana meningokokom,Infectio meningococcica
205,1,Zarazne i parazitarne bolesti,4,A390,Zapaljenje moždanica uzrokovano meningokokom,Meningitis meningococcica
206,1,Zarazne i parazitarne bolesti,4,A391,Sindrom Waterhouse - Friderichsen,Syndroma Waterhouse – Friderichsen
207,1,Zarazne i parazitarne bolesti,4,A392,Akutna sepsa - trovanje uzrokovano meningokokom,Sepsis meningococcica acuta
208,1,Zarazne i parazitarne bolesti,4,A393,Hronična sepsa - trovanje uzrokovano meningokokom,Meningococcaemia chronica
209,1,Zarazne i parazitarne bolesti,4,A394,"Sepsa - trovanje uzrokovano meningokokom, neoznačena","Meningococcaemia, non specificata"
210,1,Zarazne i parazitarne bolesti,4,A395,Bolest srca uzrokovana meningokokom,Morbus cordis meningococcica
211,1,Zarazne i parazitarne bolesti,4,A398,Ostale infekcije uzrokovane meningokokom,Infectiones meningococcicae aliae
212,1,Zarazne i parazitarne bolesti,4,A399,"Infekcija uzrokovana meningokokom, neoznačena","Infectio meningococcica, non specificata"
213,1,Zarazne i parazitarne bolesti,3,A40,Streptokokna sepsa,Sepsis streptococcica
214,1,Zarazne i parazitarne bolesti,4,A400,Sepsa uzrokovana streptokokom grupe A,Sepsis streptococcica A
215,1,Zarazne i parazitarne bolesti,4,A401,Sepsa uzrokovana streptokokom grupe B,Sepsis streptococcica B
216,1,Zarazne i parazitarne bolesti,4,A402,Sepsa uzrokovana streptokokom grupe D,Sepsis streptococcica D
217,1,Zarazne i parazitarne bolesti,4,A403,Sepsa uzrokovana pneumokokom,Sepsis pneumococcica
218,1,Zarazne i parazitarne bolesti,4,A408,Druga sepsa uzrokovana streptokokom,Sepsis streptococcica alia
219,1,Zarazne i parazitarne bolesti,4,A409,"Sepsa uzrokovana streptokokom, neoznačena","Sepsis streptococcica, non specificata"
220,1,Zarazne i parazitarne bolesti,3,A41,Ostale sepse,Sepses aliae
221,1,Zarazne i parazitarne bolesti,4,A410,"Sepsa, uzročnik Staphylococcus aureus",Sepsis staphylococcica
222,1,Zarazne i parazitarne bolesti,4,A411,Sepsa koju uzrokuje drugi označeni stafilokok,"Sepsis staphylococcica alia, specificata"
223,1,Zarazne i parazitarne bolesti,4,A412,"Sepsa uzrokovana stafilokokom, neoznačena","Sepsis staphylococcica, non specificata"
224,1,Zarazne i parazitarne bolesti,4,A413,"Sepsa, uzročnik Haemophilus influenzae",Sepsis per Haemophilum influenzae
225,1,Zarazne i parazitarne bolesti,4,A414,Sepsa uzrokovana anaerobnim bacilima,Sepsis anaerobica
226,1,Zarazne i parazitarne bolesti,4,A415,Sepsa uzrokovana drugim Gram-negativnim organizmima,Sepsis per organismos Gramos-negativos alios
227,1,Zarazne i parazitarne bolesti,4,A418,Druga označena sepsa,"Sepsis alia, specificata"
